,id,artist,title,album,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
2746,0tjoe2pJNrthKPYOMNgQlc,Einstein Study Music Academy,The Best Studying Music,"Studying Music: Piano Music to Make You Smarter, Vol. 3",27,0.267,0.00327,8.0,-37.317,0.0,0.0484,0.982,0.907,0.111,0.0734,179.466,104072.0,5.0
2747,7MS0ex4mjM7azTmX03GTXh,Einstein Study Music Academy,Relaxing Piano Music Consort,"Studying Music: Piano Music to Make You Smarter, Vol. 3",27,0.481,0.0391,3.0,-38.628,0.0,0.0445,0.952,0.169,0.243,0.34,95.43,101433.0,3.0
2748,6Gvr3w9Kn0Bq63rdBZSOcY,Einstein Study Music Academy,Improve Concentration,"Studying Music: Piano Music to Make You Smarter, Vol. 3",27,0.478,0.0014,11.0,-38.924,1.0,0.0462,0.938,0.923,0.122,0.158,100.934,109976.0,4.0
2749,79kB6ofHrouzZravWFqgEg,Einstein Study Music Academy,Brain Training,"Studying Music: Piano Music to Make You Smarter, Vol. 3",27,0.434,0.00498,6.0,-38.678,0.0,0.052,0.973,0.933,0.0782,0.115,80.036,127556.0,4.0
2750,0emFTU04hyss2VoyRh3oUl,Einstein Study Music Academy,Piano Music to Make You Smarter a 5th Time,"Studying Music: Piano Music to Make You Smarter, Vol. 5",25,0.174,0.00267,8.0,-39.941,0.0,0.0466,0.988,0.949,0.118,0.197,66.197,139180.0,3.0
2751,5Tg0cSUFn2OOcVGzxFB03H,Einstein Study Music Academy,Soft Study Music,"Studying Music: Piano Music to Make You Smarter, Vol. 5",23,0.47,0.00258,0.0,-41.972,1.0,0.043,0.989,0.958,0.0782,0.116,60.006,104725.0,3.0
2752,7I81R1O2vj8XZFZNLSmPzT,Einstein Study Music Academy,The Most Relaxing Studying Music,"Studying Music: Piano Music to Make You Smarter, Vol. 5",22,0.453,0.00106,1.0,-42.397,1.0,0.044,0.989,0.973,0.158,0.254,73.995,102217.0,3.0
2753,4WQXqX1X6S67SMBCwVi7R2,Einstein Study Music Academy,Relaxing Classical Music,"Studying Music: Piano Music to Make You Smarter, Vol. 5",26,0.49,0.00153,11.0,-41.137,0.0,0.0434,0.884,0.676,0.0825,0.0775,60.001,105064.0,4.0
2754,6u7K3gPnuvz66VJb6oEIR1,Einstein Study Music Academy,Music for Study,"Studying Music: Piano Music to Make You Smarter, Vol. 5",23,0.497,0.00343,5.0,-39.113,1.0,0.0364,0.959,0.938,0.112,0.178,99.975,125466.0,4.0
2755,06bWCtg89w8FjqmG5I1AH3,Einstein Study Music Academy,Studying Songs and Reading Music,"Studying Music: Piano Music to Make You Smarter, Vol. 5",22,0.53,0.000525,3.0,-40.93,0.0,0.073,0.993,0.953,0.144,0.282,84.965,136307.0,4.0
2756,7Jh8zsG9J9op8zHugefIJX,Einstein Study Music Academy,New Age Piano for Studying,"Studying Music: Piano Music to Make You Smarter, Vol. 5",22,0.399,0.00314,9.0,-39.091,0.0,0.0445,0.993,0.869,0.0687,0.266,170.14,136307.0,4.0
2757,3qnRf2p3uzsG8OQHooikh8,Einstein Study Music Academy,Study Music for Exams,"Studying Music: Piano Music to Make You Smarter, Vol. 5",22,0.535,0.00203,8.0,-45.929,0.0,0.0526,0.994,0.847,0.0819,0.112,139.918,120921.0,4.0
2758,77cG9COPzKCWVnzkPmf6HU,Einstein Study Music Academy,Reading and Deep Focus Music,"Studying Music: Piano Music to Make You Smarter, Vol. 5",22,0.54,0.000972,5.0,-44.036,1.0,0.0508,0.995,0.72,0.0718,0.506,147.937,104673.0,4.0
